,,,,Suchey-Brooks 1990,,,,,,Meindl and Lovejoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lovejoy et al.1985,,,,,,Buckberry-Chamberlain ,,,,,,,,,,,,,,,,Transition analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Without cranial data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Vault System(1-7),,,,,,Lateral Anterior System(6-10),,,,,,,,,,,,Auricular surface,,,,,,,,,,,,,,,,Cranial Sutures,,,,,,,,,,Auricular Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pubic Symphysis,,,,,,,,,,,,,,,,,,,,Male Forensic,,,,,,,,,,,,,,,Female forensic,,,,,,,,,,,,,,,Unknown forensic,,,,,,,,,,,,,,,Male archeological,,,,,,,,,,,,,,,Female archeological,,,,,,,,,,,,,,,Unknown archeological,,,,,,,,,,,,,,,Male Forensic,,,,,,Female forensic,,,,,,Unknown forensic,,,,,,Male archeological,,,,,,Female archeological,,,,,,Unknown archeological,,,,,,
,,,,Left,Left,Left,Right,Right,Right,Left,Right,,,,,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Left,Left,Right,Right,Right,Left,Left,Left,Right,Right,Right,Left,Left,,Right,Right,,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Left,Left,Right,Right,Right,Coronal Pterica,,Sagittal Obelica,,Lambdoidal Asterica,,Interpalatine suture,,Zygomaticomaxilary suture,,Superior Topography,,,,Inferior Topography,,,,Superior Caracteristics,,,,Apical Caracteristics,,,,Inferior Caracteristics,,,,Inferior texture,,,,Superior Exostoses,,,,Inferior Exostoses,,,,Posterior Exostoses,,,,Topography,,,,Texture,,,,Superior Protuberance,,,,Ventral Margin,,,,Dorsal margin,,,,Corrected,,,Uncorrected,,,Cranial sutures,,,Pubic symphysis,,,Auricular area,,,Corrected,,,Uncorrected,,,Cranial sutures,,,Pubic symphysis,,,Auricular area,,,Corrected,,,Uncorrected,,,Cranial sutures,,,Pubic symphysis,,,Auricular area,,,Corrected,,,Uncorrected,,,Cranial sutures,,,Pubic symphysis,,,Auricular area,,,Corrected,,,Uncorrected,,,Cranial sutures,,,Pubic symphysis,,,Auricular area,,,Corrected,,,Uncorrected,,,Cranial sutures,,,Pubic symphysis,,,Auricular area,,,Corrected,,,Uncorrected,,,Corrected,,,Uncorrected,,,Corrected,,,Uncorrected,,,Corrected,,,Uncorrected,,,Corrected,,,Uncorrected,,,Corrected,,,Uncorrected,,,
Skeleton Number,Sex,sex,Age,Left Phase Suchey,Mean Age,SD,Right Phase Suchey,Mean Age,SD,Left 1-midlamdoid,Right 1-midlamdoid,2-lambda,3-obelion,4-anterior sagital,5-bregma,Left 6-midcoronal,Right 6-midcoronal,Left 7-pterion,Right 7-pterion,Left 8-sphenofrontal,Right 8-sphenofrontal,Left 9-inferior sphenotemporal,Right 9-inferior sphenotemporal,Left 10-superior sphenotemporal,Right 10-superior sphenotemporal,Score,Mean,SD,Score,Mean,SD,Score,Mean,SD,Score,Mean,SD,Left Phase,Age min,Age max,Right Phase,Age min,Age max,Left Transverse organization,Right Transverse organization,Left Surface texture,Right Surface texture,Left Microposity,Right Microposity,Left Macroporositty,Right Macroporositty,Left Apical changes,Right Apical changes,Composite score,SD,Mean age,Composite score,SD,Mean age,min,max,min,max,min,max,min,max,min,max,Left-min,Left-max,Right-min,Right-max,Left-min,Left-max,Right-min,Right-max,Left-min,Left-max,Right-min,Right-max,Left-min,Left-max,Right-min,Right-max,Left-min,Left-max,Right-min,Right-max,Left-min,Left-max,Right-min,Right-max,Left-min,Left-max,Right-min,Right-max,Left-min,Left-max,Right-min,Right-max,Left-min,Left-max,Right-min,Right-max,Left-min,Left-max,Right-min,Right-max,Left-min,Left-max,Right-min,Right-max,Left-min,Left-max,Right-min,Right-max,Left-min,Left-max,Right-min,Right-max,Left-min,Left-max,Right-min,Right-max,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,L95%,Point est,U95%,
WLH 012,F,2,84,6,60,12.4,6,60,12.4,0,0,1,2,1,0,1,1,2,3,2,3,0,0,0,0,7,39.4,9.1,8,39.4,9.1,5,41.1,10,7,45.5,8.9,8,60,,8,60,,4,5,4,4,3,3,3,2,3,3,17,72.25,12.73,17,72.25,12.73,4,5,4,4,1,1,1,3,1,1,2,3,2,3,2,3,3,3,4,4,3,4,4,4,3,4,4,4,4,4,2,2,2,2,5,6,5,6,4,5,3,4,2,3,2,3,4,6,6,6,3,3,3,4,4,4,4,4,6,7,7,7,5,5,5,5,47.8,69.8,90.7,57.6,81.2,105.7,17.1,31.7,61.3,70.9,110,110,53.9,85.1,110,49.5,68.8,88.8,57,78.7,102,15,30.2,64.2,71.3,110,110,51.6,80.2,110,49.5,68.8,88.8,57,78.7,102,15,30.2,64.2,71.3,110,110,51.6,80.2,110,60,78.4,91.1,57.6,81.2,105.7,17.1,31.7,61.3,70.9,110,110,53.9,85.1,110,59.4,77.4,90.4,57,78.7,102,15,30.2,64.2,71.3,110,110,51.6,80.2,110,59.4,77.4,90.4,57,78.7,102,15,30.2,64.2,71.3,110,110,51.6,80.2,110,58,79.6,100.7,70.2,94.5,110,57.5,77.7,98.2,67.7,90.7,110,57.5,77.7,98.2,67.7,90.7,110,67.4,82.8,93.7,70.2,94.5,110,66.5,81.9,93.1,67.7,90.7,110,66.5,81.9,93.1,67.7,90.7,110,
WLH 001,M,1,85,5,45.6,10.4,5,45.6,10.4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,21,,,21,,,14,56.2,8.5,14,56.2,8.5,7,50,59,7,50,59,4,4,5,5,3,3,1,1,2,3,15,66.71,11.88,16,66.71,11.88,5,5,5,5,5,5,3,4,4,5,3,3,3,3,3,3,2,3,4,4,4,4,3,4,3,5,5,5,5,5,1,2,2,2,,,,,,,,,,,,,5,6,5,6,2,3,2,3,4,4,3,4,6,7,6,7,4,4,4,5,44.6,68.1,92.2,56.1,84.1,110,38.1,110,110,34.7,74.8,110,47.6,82.6,110,44.7,66.2,89.5,53.9,80.2,108.8,40.9,110,110,37.1,76.8,110,39.9,76.2,110,44.7,66.2,89.5,53.9,80.2,108.8,40.9,110,110,37.1,76.8,110,39.9,76.2,110,58.7,79,91.9,56.1,84.1,110,38.1,110,110,34.7,74.8,110,47.6,82.6,110,57.1,77.7,91.1,53.9,80.2,108.8,40.9,110,110,37.1,76.8,110,39.9,76.2,110,57.1,77.7,91.1,53.9,80.2,108.8,40.9,110,110,37.1,76.8,110,39.9,76.2,110,39.7,63.2,89.2,50.3,80.8,110,39,60.9,86.2,47.6,76.3,106.6,39,60.9,86.2,47.6,76.3,106.6,54.6,77.7,91.4,50.3,80.8,110,52,76.2,90.6,47.6,76.3,106.6,52,76.2,90.6,47.6,76.3,106.6,
WLH 003,F,2,79,6,60,12.4,6,60,12.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,0,,,1,32,8.3,0,,,8,60,,7,50,59,4,4,5,5,3,3,3,2,3,2,18,72.25,12.73,16,66.71,11.88,1,2,1,1,1,1,1,3,1,2,2,3,1,2,2,3,3,3,4,5,3,4,3,5,2,3,4,5,4,4,2,3,2,3,3,4,3,3,3,3,3,4,2,3,2,3,5,6,4,4,4,4,3,3,4,4,4,4,7,7,7,7,5,5,3,4,29.8,38,51.4,30.4,39.5,54.7,15,15,26.7,60.7,96.1,110,49.3,85.7,110,35.2,50,69,37.9,55.2,76.9,15,15,31.3,61.4,96.1,110,47.1,77.2,110,35.2,50,69,37.9,55.2,76.9,15,15,31.3,61.4,96.1,110,47.1,77.2,110,30.3,39.2,55.3,30.4,39.5,54.7,15,15,26.7,60.7,96.1,110,49.3,85.7,110,38.5,58.2,79.4,37.9,55.2,76.9,15,15,31.3,61.4,96.1,110,47.1,77.2,110,38.5,58.2,79.4,37.9,55.2,76.9,15,15,31.3,61.4,96.1,110,47.1,77.2,110,52.8,76.1,97.9,65.8,90.9,110,52.7,73.5,94.4,62.5,86,110,52.7,73.5,94.4,62.5,86,110,64.8,81.6,93.1,65.8,90.9,110,63.2,80.2,92.2,62.5,86,110,63.2,80.2,92.2,62.5,86,110,
WLH 002,M,1,64,6,61.2,12.2,6,61.2,12.2,2,2,2,3,2,3,2,2,3,3,3,3,2,2,3,3,17,48.8,10.5,17,48.8,10.5,13,56.2,8.5,13,56.2,8.5,8,60,,8,60,,5,4,5,5,3,3,2,2,2,2,17,72.25,12.73,16,66.71,11.88,3,4,4,4,3,3,3,4,3,4,2,3,2,3,2,3,3,3,4,4,4,5,4,4,3,5,4,5,4,5,1,1,1,1,4,4,3,4,5,5,5,5,1,2,1,3,5,6,5,6,3,3,3,4,4,4,4,4,6,7,6,7,4,4,4,4,41.8,64.2,90.6,52,83.1,110,27,71.4,110,34,74.9,110,49,89.9,110,45.3,65.7,89.1,53.6,79.6,110,28.9,75.3,110,35.5,76.4,110,48.4,81.9,110,45.3,65.7,89.1,53.6,79.6,110,28.9,75.3,110,35.5,76.4,110,48.4,81.9,110,55.6,78.2,91.8,52,83.1,110,27,71.4,110,34,74.9,110,49,89.9,110,56.7,77.4,91.1,53.6,79.6,110,28.9,75.3,110,35.5,76.4,110,48.4,81.9,110,56.7,77.4,91.1,53.6,79.6,110,28.9,75.3,110,35.5,76.4,110,48.4,81.9,110,39.7,63.2,91,51.1,84.8,110,42.6,64.3,89.3,51.9,80.4,110,42.6,64.3,89.3,51.9,80.4,110,55,78.5,92,51.1,84.8,110,55.5,77.6,91.4,51.9,80.4,110,55.5,77.6,91.4,51.9,80.4,110,
WLH 005,F,2,67,6,60,12.4,6,60,12.4,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,2,30.5,9.6,2,30.5,9.6,2,36.2,6.2,2,36.2,6.2,8,60,,8,60,,5,5,5,5,3,3,3,2,3,3,19,72.25,12.73,18,72.25,12.73,3,3,2,3,1,1,3,3,2,2,3,3,2,3,3,3,2,3,5,5,4,4,3,5,3,4,5,5,4,5,2,3,2,3,4,4,4,4,3,5,2,3,1,1,1,1,6,6,5,6,3,3,3,3,4,4,4,4,7,7,6,7,5,5,5,5,54.1,75.5,96.5,65.1,88.8,110,18.6,33.6,68.2,72.4,110,110,63.9,97,110,52.2,72,92.1,60.6,82.8,107.7,15,32.2,68.9,72.8,110,110,55.4,86.6,110,52.2,72,92.1,60.6,82.8,107.7,15,32.2,68.9,72.8,110,110,55.4,86.6,110,64.8,81.2,92.8,65.1,88.8,110,18.6,33.6,68.2,72.4,110,110,63.9,97,110,62.1,79.2,91.5,60.6,82.8,107.7,15,32.2,68.9,72.8,110,110,55.4,86.6,110,62.1,79.2,91.5,60.6,82.8,107.7,15,32.2,68.9,72.8,110,110,55.4,86.6,110,63.3,84.8,106.6,77.5,104.4,110,60.2,80.9,102.2,72.1,97,110,60.2,80.9,102.2,72.1,97,110,70.4,84.6,94.9,77.5,104.4,110,68.4,83.3,94,72.1,97,110,68.4,83.3,94,72.1,97,110,
WLH 008,M,1,60,6,61.2,12.2,6,61.2,12.2,1,1,3,3,3,2,1,1,3,3,3,3,2,1,0,2,16,48.8,10.5,16,48.8,10.5,9,51.9,12.5,10,51.9,12.5,6,45,49,6,45,49,5,4,5,5,2,2,2,2,2,2,16,66.71,11.88,15,66.71,11.88,4,5,3,4,2,3,3,3,3,4,2,2,2,2,2,2,2,3,4,4,4,4,3,4,3,4,3,3,3,3,2,2,2,2,4,5,4,5,2,3,2,3,1,3,1,3,5,6,5,5,3,3,3,3,4,4,4,4,6,7,6,6,4,5,4,5,37.6,54.9,77.7,41.7,64.9,90.7,27.1,81.2,110,35.1,63.7,105.4,31.7,63.3,99.3,38.8,56.1,76.8,43.1,63.9,87.9,28.5,85.8,110,37.3,66.6,106.4,28.5,57.2,92,38.8,56.1,76.8,43.1,63.9,87.9,28.5,85.8,110,37.3,66.6,106.4,28.5,57.2,92,44.2,69.7,86.9,41.7,64.9,90.7,27.1,81.2,110,35.1,63.7,105.4,31.7,63.3,99.3,45.3,68.2,85.8,43.1,63.9,87.9,28.5,85.8,110,37.3,66.6,106.4,28.5,57.2,92,45.3,68.2,85.8,43.1,63.9,87.9,28.5,85.8,110,37.3,66.6,106.4,28.5,57.2,92,35.9,52.7,76.6,39.6,63.5,90.4,35.9,53.5,75.3,40.1,61.9,87,35.9,53.5,75.3,40.1,61.9,87,41.8,69.1,86.8,39.6,63.5,90.4,42.1,67,85.5,40.1,61.9,87,42.1,67,85.5,40.1,61.9,87,
WLH 009,M,1,76,6,61.2,12.2,6,61.2,12.2,2,2,1,3,3,1,0,0,3,3,3,3,0,0,0,1,13,45.2,12.6,13,45.2,12.6,6,43.4,10.7,7,45.5,8.9,7,50,59,7,50,59,5,5,5,5,3,3,3,2,2,2,18,72.25,12.73,17,72.25,12.73,3,4,5,5,1,1,3,3,3,3,3,3,3,3,3,3,2,3,4,5,4,4,4,4,4,5,4,5,4,4,2,2,2,2,2,3,2,3,2,3,2,3,1,1,2,2,6,6,6,6,3,3,3,3,4,4,4,4,7,7,7,7,4,4,4,4,45.6,66.1,86.5,53.4,76.1,99,19.6,37.3,83.8,53.4,91.7,110,49.5,79.5,110,43.9,63.2,83.1,50.4,72,94,15,40.5,88.7,54.8,91.8,110,40.8,70.9,100.7,43.9,63.2,83.1,50.4,72,94,15,40.5,88.7,54.8,91.8,110,40.8,70.9,100.7,56.6,76,89.6,53.4,76.1,99,19.6,37.3,83.8,53.4,91.7,110,49.5,79.5,110,53.5,73.7,88.1,50.4,72,94,15,40.5,88.7,54.8,91.8,110,40.8,70.9,100.7,53.5,73.7,88.1,50.4,72,94,15,40.5,88.7,54.8,91.8,110,40.8,70.9,100.7,50.3,72.1,92.9,60.6,84,109.3,47,68.2,88.8,55.8,78.8,102.6,47,68.2,88.8,55.8,78.8,102.6,62,79.6,91.8,60.6,84,109.3,58.6,77.4,90.5,55.8,78.8,102.6,58.6,77.4,90.5,55.8,78.8,102.6,
